x,swabID,surno,year,PITtag,Nruns,useCorrected,Zoospores,Site_name,date_collected,Julian,SVL,sex,Weight,water_temp
157,CBS122,1,2004,61783828,3,1,0.215734499,LittleIndianValley,7/17/04,38185,72,F,42,17
190,CBS155,1,2004,61783828,3,0,8.88556,LittleIndianValley,7/30/04,38198,71.7,F,51,NA
283,CBS242,2,2004,61783828,3,0,0,LittleIndianValley,8/15/04,38214,73.1,F,47,NA
568,CBS551,4,2005,61799561,1,0,0,LittleIndianValley,7/15/05,38548,74.7,F,65,NA
7,CBS002,1,2004,61825349,3,0,16.00162667,LittleIndianValley,6/10/04,38148,65.5,M,34.5,14
62,CBS057,1,2004,61825349,3,0,0,LittleIndianValley,7/3/04,38171,64.9,M,38.5,23
999,CBS6055,7,2006,61825349,3,0,38.12962667,LittleIndianValley,7/28/06,38926,67.2,M,42,22.5
44,CBS039,1,2004,61837360,3,0,0,LittleIndianValley,7/3/04,38171,65.3,M,34,14
626,CBS575,4,2005,61837360,4,0,244.63912,LittleIndianValley,7/30/05,38563,65,M,36,NA
654,CBS596,5,2005,61837360,3,0,0,LittleIndianValley,8/27/05,38591,68.5,M,43,10.5
512,CBS505,4,2005,61879790,1,0,9.4084,LittleIndianValley,7/1/05,38534,68.1,M,31.5,NA
636,CBS585,4,2005,61879790,1,1,2.500871273,LittleIndianValley,7/30/05,38563,68.9,M,32,NA
656,CBS598,5,2005,61879790,3,1,3.023378608,LittleIndianValley,8/27/05,38591,66.3,M,34,NA
862,CBS794,6,2005,61879790,1,0,1.643608,LittleIndianValley,10/7/05,38632,65.6,M,32,6
567,CBS550,4,2005,61892299,1,0,15.83848,LittleIndianValley,7/15/05,38548,68.2,F,38,24.5
621,CBS570B,4,2005,61892299,1,0,0,LittleIndianValley,7/29/05,38562,67.6,F,38,NA
655,CBS597,5,2005,61892299,1,0,0,LittleIndianValley,8/27/05,38591,69.3,F,44,NA
566,CBS549,4,2005,62026813,1,0,0,LittleIndianValley,7/15/05,38548,65.8,M,35,24.5
653,CBS595,5,2005,62026813,1,0,0.6319056,LittleIndianValley,8/26/05,38590,65.9,M,38,11
167,CBS132,1,2004,62032294,1,0,0,LittleIndianValley,7/17/04,38185,49,NA,NA,NA
43,CBS038,1,2004,62037074,3,0,0,LittleIndianValley,7/3/04,38171,65.2,M,44,15.5
860,CBS792,6,2005,62037074,3,0,5.467341333,LittleIndianValley,10/7/05,38632,68.5,M,42,6
60,CBS055,1,2004,62037521,3,0,3.695669333,LittleIndianValley,7/3/04,38171,62,M,31,18
569,CBS552,4,2005,62037521,4,0,242.2184,LittleIndianValley,7/15/05,38548,62.3,M,28,NA
941,CBS6025,7,2006,62037521,3,0,902.244,LittleIndianValley,7/2/06,38900,64.4,M,29,8.5
1014,CBS6070,7,2006,62037521,3,0,33.49642667,LittleIndianValley,7/29/06,38927,62.5,M,34.5,17
1041,CBS6098,7,2006,62037521,3,0,9.04088,LittleIndianValley,7/30/06,38928,NA,M,NA,14
1775,CBS8055,13,2008,62037521,1,0,210.632,LittleIndianValley,7/7/08,39636,76.2,M,30.5,NA
158,CBS123,1,2004,62038087,3,0,0,LittleIndianValley,7/17/04,38185,58.6,F,32,17
