Sample ID,Record type,Species,Sample type,Label,Collection ID,Collection date range,Collection protocols,Projects,Latitudes,Longitudes,Locations,Citations,Tag,Attractants,Usage license,Sex,Developmental stage,Available data types,Geolocation provenance,Geolocation precision
VBS0057565,Sample,Ixodes scapularis,individual,"IN_10_F",VBA0172495,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057566,Sample,Ixodes scapularis,individual,"IN_1_F",VBA0172645,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057567,Sample,Ixodes scapularis,individual,"IN_2_F",VBA0172675,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057568,Sample,Ixodes scapularis,individual,"IN_3_F",VBA0172519,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057569,Sample,Ixodes scapularis,individual,"IN_4_F",VBA0172492,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057570,Sample,Ixodes scapularis,individual,"IN_5_F",VBA0172567,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057571,Sample,Ixodes scapularis,individual,"IN_6_F",VBA0172528,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057572,Sample,Ixodes scapularis,individual,"IN_7_F",VBA0172651,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057573,Sample,Ixodes scapularis,individual,"IN_8_F",VBA0172639,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057574,Sample,Ixodes scapularis,individual,"IN_9_F",VBA0172452,"2012-11-01","catch of live specimens","VBP0000120","41.1103","-86.599","Pulaski (Indiana (United States))","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","3 decimal places or better precision"
VBS0057575,Sample,Ixodes scapularis,individual,"MA_1_F",VBA0172477,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057576,Sample,Ixodes scapularis,individual,"MA_2_F",VBA0172564,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057577,Sample,Ixodes scapularis,individual,"MA_3_F",VBA0172516,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057578,Sample,Ixodes scapularis,individual,"MA_4_F",VBA0172620,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057579,Sample,Ixodes scapularis,individual,"MA_5_F",VBA0172486,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057580,Sample,Ixodes scapularis,individual,"MA_6_F",VBA0172611,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057581,Sample,Ixodes scapularis,individual,"MA_7_F",VBA0172555,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057582,Sample,Ixodes scapularis,individual,"MA_8_F",VBA0172458,"2011-10","catch of live specimens","VBP0000120","41.26","-70.07","Nantucket","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","estimated from administrative region 2 information or better","2 decimal places or better precision"
VBS0057583,Sample,Ixodes scapularis,individual,"ME_10_F",VBA0172464,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057584,Sample,Ixodes scapularis,individual,"ME_1_F",VBA0172474,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057585,Sample,Ixodes scapularis,individual,"ME_2_F",VBA0172623,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057586,Sample,Ixodes scapularis,individual,"ME_3_F",VBA0172510,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057587,Sample,Ixodes scapularis,individual,"ME_4_F",VBA0172513,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057588,Sample,Ixodes scapularis,individual,"ME_5_F",VBA0172570,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057589,Sample,Ixodes scapularis,individual,"ME_6_F",VBA0172654,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057590,Sample,Ixodes scapularis,individual,"ME_7_F",VBA0172483,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057591,Sample,Ixodes scapularis,individual,"ME_8_F",VBA0172534,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057592,Sample,Ixodes scapularis,individual,"ME_9_F",VBA0172614,"2012-10-17","catch of live specimens","VBP0000120","43.5636","-70.2322","Cumberland (Maine)","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","4 decimal places or better precision"
VBS0057593,Sample,Ixodes scapularis,individual,"NC_1_F",VBA0172648,"2010-10","catch of live specimens","VBP0000120","34.7","-77.4","Onslow","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057594,Sample,Ixodes scapularis,individual,"NC_2_F",VBA0172685,"2010-10","catch of live specimens","VBP0000120","34.7","-77.4","Onslow","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057595,Sample,Ixodes scapularis,individual,"NC_3_F",VBA0172590,"2010-10","catch of live specimens","VBP0000120","34.7","-77.4","Onslow","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057596,Sample,Ixodes scapularis,individual,"NC_4_F",VBA0172579,"2010-10","catch of live specimens","VBP0000120","34.7","-77.4","Onslow","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057597,Sample,Ixodes scapularis,individual,"NC_5_F",VBA0172576,"2010-10","catch of live specimens","VBP0000120","34.7","-77.4","Onslow","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057598,Sample,Ixodes scapularis,individual,"NC_6_F",VBA0172666,"2010-10","catch of live specimens","VBP0000120","34.7","-77.4","Onslow","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057599,Sample,Ixodes scapularis,individual,"NH_10_F",VBA0172455,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057600,Sample,Ixodes scapularis,individual,"NH_1_F",VBA0172669,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057601,Sample,Ixodes scapularis,individual,"NH_2_F",VBA0172626,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057602,Sample,Ixodes scapularis,individual,"NH_3_F",VBA0172469,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057603,Sample,Ixodes scapularis,individual,"NH_4_F",VBA0172501,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057604,Sample,Ixodes scapularis,individual,"NH_5_F",VBA0172498,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
VBS0057605,Sample,Ixodes scapularis,individual,"NH_6_F",VBA0172660,"2012-10-27","catch of live specimens","VBP0000120","43.2","-71.5","Merrimack","","whole genome sequencing","no data","CC BY",female,"","Whole genome sequencing","provided","1 decimal place or better precision"
